Lefse(Norwegian)  ,"[""4 medium Russet potatoes, mashed"", ""1/3 stick butter"", ""3 Tbsp. milk"", ""1 c. flour""]","[""Add mashed potatoes, butter and milk."", ""Let cool."", ""Once cool, add 1 cup flour."", ""Knead until smooth."", ""Heat electric frypan to 400\u00b0."", ""Take a large spoonful and roll it out until it is flat and thin (but thick enough to pick up with a spatula)."", ""\""Fry\"" dry (no oil in pan); turn and bake other side."", ""Should have light brown spots, but be soft and flexible.""]","[""potatoes"", ""butter"", ""milk"", ""flour""]"
Potato Cakes,"[""leftover mashed potatoes"", ""chopped onion (if desired)"", ""1 egg"", ""2 Tbsp. flour""]","[""Mix well; shape into patties. Fry until brown on one side, then turn.""]","[""potatoes"", ""onion"", ""egg"", ""flour""]"
Biscuit Muffins,"[""2 c. self-rising flour"", ""1 c. milk"", ""4 Tbsp. mayonnaise (1/4 c.)""]","[""Mix all together and spoon into muffin pans which have been sprayed."", ""Bake 15 minutes at 400\u00b0.""]","[""flour"", ""milk"", ""mayonnaise""]"
Chicken Dijon,"[""2 whole chicken breasts, split, boned and skinned"", ""2 Tbsp. butter or margarine"", ""1/2 Tbsp. all-purpose flour"", ""1/2 c. chicken broth"", ""1/4 c. half and half"", ""1 Tbsp. Dijon mustard""]","[""Saute chicken in butter over low heat about 20 minutes or until tender."", ""Remove chicken to a warm platter."", ""Blend flour into pan drippings; cook over low heat, stirring constantly, until bubbly."", ""Gradually stir in broth and half and half; cook until smooth and thickened, stirring constantly."", ""Stir in mustard."", ""Add chicken; cover and simmer about 10 minutes."", ""Yield:"", ""2 servings.""]","[""chicken breasts"", ""butter"", ""flour"", ""chicken broth"", ""mustard""]"
Make Ahead Mashed Or Whipped Potatoes,"[""8 to 10 potatoes"", ""1 c. sour cream"", ""1 (8 oz.) pkg. cream cheese""]","[""Pare and cook potatoes as usual, adding salt."", ""Drain and whip them."", ""Whip in cream cheese and sour cream."", ""Place in casserole, cover and place in refrigerator until ready to cook."", ""Spread with butter and paprika."", ""Bake at 350\u00b0 for 30 minutes."", ""Great for the holidays when time is limited.""]","[""potatoes"", ""sour cream"", ""cream cheese""]"
Southern Lassies,"[""1 stick butter"", ""1 (3 oz.) pkg. cream cheese"", ""1 c. flour""]","[""Mix and roll into a ball."", ""Put small amount in each cup and press around to make a shell."", ""In the bottom of each, put chopped walnuts.""]","[""butter"", ""cream cheese"", ""flour""]"
Simple Rolls,"[""1 c. self-rising flour"", ""3 Tbsp. mayonnaise"", ""1/2 c. milk""]","[""Mix and put in greased muffin pans."", ""Serve hot with butter. Tastes great!"", ""Really!""]","[""flour"", ""mayonnaise"", ""milk""]"
Bird'S Nest,"[""1/4 c. butter"", ""3 oz. cream cheese"", ""1 c. flour""]","[""Mix together until the dough is workable.""]","[""butter"", ""cream cheese"", ""flour""]"
Scott'S Sour Cream Biscuits,"[""2 sticks butter, melted"", ""2 c. self-rising flour"", ""1 c. sour cream""]","[""Mix all"", ""ingredients and spoon in miniature muffin pan. Bake at 350\u00b0 for 15 minutes.""]","[""butter"", ""flour"", ""sour cream""]"
Toad-In-A-Hole,"[""1 egg"", ""1 slice bread"", ""butter""]","[""Melt a bit of butter in skillet."", ""Using the rim of a glass, press the center out of the slice of bread."", ""Reserve center circle. Put slice of bread in pan."", ""Crack egg into center hole of bread. Turn when egg is set."", ""Cook over low heat until egg is done. Season with salt and pepper."", ""Serve with bread hole covering egg center (Toad)!""]","[""egg"", ""bread"", ""butter""]"
"Real Mashed Potatoes!(From Potatoes, Not A Mix!)  ","[""20 potatoes (approximate)"", ""1/2 stick butter"", ""little milk""]","[""Cut up potatoes and put in a big pot of salted water. Bring to a boil. Put cover on pot and let cook 25 minutes on medium heat. Drain; add butter and milk. Whip using a hand mixer.""]","[""potatoes"", ""butter"", ""milk""]"
Fiesta Dip,"[""8 oz. cream cheese, softened"", ""8 oz. sour cream"", ""1 small onion, finely chopped""]","[""Mix all ingredients and spread into serving dish or 9 x 13-inch or larger pizza pan."", ""Top with shredded lettuce, grated Cheddar cheese and chopped tomatoes."", ""Chill for at least 1 hour. Serve with tortilla chips.""]","[""cream cheese"", ""sour cream"", ""onion""]"
Quick White Sauce,"[""2 Tbsp. butter"", ""1 1/2 to 2 Tbsp. flour"", ""1 c. milk""]","[""Melt butter and flour; stir 3 to 4 minutes until blended. Slowly stir in milk."", ""Cook and stir until thick and smooth.""]","[""butter"", ""flour"", ""milk""]"
Blt Dip,"[""1 c. sour cream"", ""1 c. mayonnaise"", ""1 c. diced tomatoes"", ""1 lb. bacon, fry and crumble""]","[""Let chill about 1 hour."", ""Serve on crackers or cocktail rye.""]","[""sour cream"", ""mayonnaise"", ""tomatoes"", ""bacon""]"
